문서번호,제목,질문,위치,조회수,질문날짜,답변ID,답변,답변날짜
476668972,"질문서울 처음와본 사람","제가 서울온지 1년되었는데 제 예전 친구가 놀러오기로했어요 둘다 고등학생인데 어딜가야 인상깊을까요 그친구는 서울 처음와봐요 서울숲.?은 너무 식상할까요? 어디를가야할까요","서울특별시 ",38,2024-10-15,4766689721," 추천지  입니다1.놀이공원롯데월드서울랜드서울대공원2.전망대롯데타워남산타워. 케이블카3.한강유람선오리배자전거수상보트4.명소고척돔청와대동대문 DDP경복궁광화문덕수궁벼룩시장풍물시장5.장소홍대입구역방탈출카페보드게임카페VR 카페레이저 아레나",2024-10-15
476668893,"질문대방역이나 노량진서 새벽에 노원가는버스","노량진역이나 대방에서 새벽에 노원가는 버스 운행하나요 배차간격및 위치정보 궁금합니다 글구 근처주변에 새벽운영 식당이나 피시방 좀 있나요 상권","서울특별시 동작구 노량진동 ",14,2024-10-15,4766688931,"진역 버스중앙차로에서 n15번 20분 탑승동대문역 하차 내린자리에서 n13번 18분  갈아타고하계 중계 상계 노원역 등동대문 쪽 내리면 pc방 식당",2024-10-15
476668126,"질문당긍마켓 심부름 으로 덕질 대신구매 시키는것도가능?","당긍마켓 으로 알바 구하는것이있는데요 알바 구하는 기능으로 덕절물품 대리 구매시키는것도 가능할까요??","서울특별시 서대문구 대신동 ",13,2024-10-15,4766681261," 하는 사람한테 돈과 수고비를 준다면 가능할거 같아요",2024-10-15
476667611,"질문알바 면접 신고되나여?","서울올라와서 면접보는데 지점장이 저보고 광주촌년이라고 하는데 이거 신고되나요? 지역비하하는데 상당히 기분나쁘네요ㅡㅡ","서울특별시 ",13,2024-10-15,4766676111,"정보에서 얼굴 기억하면 이름 찾거나 아니면 회사(기업) 자체에 민원을 넣는 방법도 있습니다.하지만 제대로 된 증거나 증인이 없다면 법정까지 갔을 시 불리하게 적용될 수 있습니다.",2024-10-15
476667136,"질문대한통운 687872108145","지역은 서울 관악구 입니다. 언제 도착할까요..목욜에 도착 가능할까요","서울특별시 ",16,2024-10-15,4766671361," 도착할것 같네요 배송지키미 라는 어플로 조회가능합니다",2024-10-16
476667021,"질문중간 평균 87점이면","서울 송파구에 있는 학교 다니는데 평균 87점이면 잘 본 건가요?","서울특별시 ",10,2024-10-15,4766670211,"거에요 ㅎ",2024-10-15
476665885,"질문~~서울 강남에 월세 저렴한 오피스텔 있나요?~~","안녕하세요 11월달에 서울에 가서 강남에 있는 오피스텔 작은평수 저렴한 곳을 찾아서 돈을 열심히 벌어서 전세로 해야할지 아니면 월세로 해야할지 부모님과 의논을 하고 난뒤 사촌언니한테도 카톡으로 물어보고 당분간은 창원에서 일당제 일을 알아보기 위해서는 창원여성인력개발센타에 방문을 해서 상담을 받고 입주청소 일을 3명씩 하는 곳으로 가고 싶다고 말씀드리고 행동이 느리고 부족한 부분도 많다고 말씀드리고 싶어요","서울특별시 강남구 ",18,2024-10-15,4766658851,"강남에는 많이 비쌉니다 또한  기타 상가도 많이 비쌉니다2.대책은  강남  주변   사당역. 이수역. 건대입구역 등에  부동산 중개소에   가장 저렴한  오피스텔  예약 합니다",2024-10-15
476665168,"질문강남 구내식당 질문","부산에서 서울로 이직을 할생각인데 궁금한게 있습니다 부산은 센텀에서 일한다면 구내식당같이 한식뷔페 하는곳이 있는데 강남도 직장인을 위한 밥집이 많이있나요? 아니면 일반식당에서 식사하는편인가요?","서울특별시 강남구 ",10,2024-10-15,NULL,NULL,NULL
476664086,"질문사대부고 질문 (내공 100","이문동에서 사대부고 갈 수 있을까요? (흔히 말하는 뺑뺑이로만 입학 가능한가요 아니면 면접을 통해서도 입학이 가능한가요?) 그리고 사대부고는 성적을 본다고 알고있는데 전교 20등대면 입학 가능한가요??","서울특별시 성북구 정릉동 ",11,2024-10-15,NULL,NULL,NULL
476662021,"질문남양주 덕소역에서 강남역 출근시 기후동행카드","기후동행카드를 사용하는게 이득일까요?? 출퇴근 용으로 사용예정입니다","서울특별시 강남역 ",24,2024-10-15,4766620213,"하세요 경의 중앙선은 양원역까지만 사용 가능합니다. 덕소역은 기후동행카드 사용 불가 지역입니다. k패스를 알아보시는것도 좋을듯 합니다.아래 링크를 통해 기후동행카드 사용 가능지역 검색과 k패스에대해 자세히 알 수 있습니다.기후동행카드 신청 발급방법 종류 빠르게 알아보기 (feat. 경기도) - 서우네 블로그이번시간에는 서울특별시에서 야심차게 준비 한 기후동행카드에 대해서 알아보도록 할건데요. 기후동행카드는 2024년1월27일(토)부터 6월 30일(일) 까지 서울시에서 시행하는 시범사업 중 하나에요. 7월부터 지하철 요금 인상이 예상되는 가운데 시민들의 대중 교통비 부담이 더 커지게 되었는데요. 월 6만 2천원 (따릉이 미 포함) 6만 5천원 (따릉이 포함) 으로 서울시 대중교통을 한 달간 무제한으로 이용할 수 있는 기후동행카드!! 모바일카드 발급 실물카드 발급방법에 대해서 빠르게 알아보도록 할게요.cloaking.co.krK-패스(K-PASS) The경기패스 인천 I-패스(I-PASS) 비교 사용 신청방법 혜택 (알뜰교통카드 는 폐지?) 3분 요약 - 서우네 블로그이번시간에는 얼마 서울시에서 시행 된 기후동행카드와 함께 큰 관심을 받고 있는 K-패스(K-PASS) The경기패스 인천 I-패스(I-PASS) 에 대해서 알아보도록 할 건데요. 기존에 시행중인 알뜰교통카드의 문제점을 보안하여 시행을 앞 둔 국토교통부의 대중교통비 지원 사업이에요.cloaking.co.kr",2024-10-17
476662021,"질문남양주 덕소역에서 강남역 출근시 기후동행카드","기후동행카드를 사용하는게 이득일까요?? 출퇴근 용으로 사용예정입니다","서울특별시 강남역 ",24,2024-10-15,4766620212,"주 덕소역에서 강남역까지 출퇴근하신다면기후동행카드가 유용할 수 있어요! 기후동행카드는 청년들에게 교통비를 절감해주는 혜택이 있으니 특히 매일 출퇴근으로 교통비가 많이 드는 경우에 큰 도움이 됩니다. 다만청년 등록을 하셔야 할인을 적용받을 수 있으니 꼭 먼저 등록을 완료하세요. 사용 패턴에 따라 다르겠지만 장거리 출퇴근이라면 확실히 이득이 될 가능성이 큽니다!..이외에 더 디테일한 정보는 하단에서 정보를 얻었어요! 꽤나 자세하게 알려주고 있어서 도움이 되실거에요!.https://www.amorblog.co.kr/2024/10/6.html기후동행카드 신청 방법 월 6만 원대로 서울 대중교통 무제한 이용하기대중교통비 절약을 원하시나요? 알아보니 딱 좋은 방법이 있더군요. 서울에서 한 달에 6만 원대로 대중교통을 무제한으로 이용할 수 있는 기후동행카드 신청 방법을 안내해 드릴려고 합니다. 빠르고 쉽게 신청해서 교통비 부담을 줄여보세요.www.amorblog.co.kr",2024-10-17
476662021,"질문남양주 덕소역에서 강남역 출근시 기후동행카드","기후동행카드를 사용하는게 이득일까요?? 출퇴근 용으로 사용예정입니다","서울특별시 강남역 ",24,2024-10-15,4766620211," 동행 카드 보다는 후불식 교통카드 사용 하는것이 좋을것 같습니다덕소역은 기후동행카드 사용이 안됩니다",2024-10-15
476612548,"질문토지매매로 인한 복잡한 갈등","서울 거주 중인 30대 남성입니다. 20년 전 시골에 살았는데 아버지가 돌아가셔서 당시 저는 미성년자여서 어머니가 시골에 있는 집을 대신 상속을 받았고 지인(50대)에게 집을 매매하여 서울로 이사를 왔습니다. 당시 할머니와 친척들은 어머니가 왜 집을 매매 하냐고 구박하고 어머니와 할머니가 싸웠습니다. 그 후 할머니가 지인에게 찾아가 집을 달라고 싸웠던 것 같습니다. 아버지가 계셨을 때도 아버지와 지인은 어떤 사건으로 싸웠습니다. 여기까지는 저와 지인은 문제가 되지 않습니다. 집을 판 것도 어머니와 거래를 했고 저랑은 상관이 없었습니다. 5년 전 제가 20대 일 때 안부 인사 차 지인 집에 갔는데 제가 말하지 않았는데 갑자기 느닷없이 집을 달라고 찾아왔냐고 순간 당황하였고 지인의 가족들이 있는데 제가 무슨 말이냐고 화를 낸다면 지인이 아버지와 할머니처럼 싸우려고 하느냐며 생각하여 그냥 아무 말 하지 않고 그냥 서울로 왔습니다. 내가 그렇게 찾아 간 게 아니었는데 나를 그런 식으로 대하니 시간이 지나도 억울하고 화가 나서 최근 과거의 일로 지인(시간이 지나서 60대)에게 전화해서 '제가 집을 달라고 했나요? 돈을 달라고 했나요? 집 거래를 어머니랑 했고 나랑은 상관없고 등기부등본 보니까 소유권 이전됐다'고 화를 내며 따졌고 20대에 지인의 집에 찾아 갔을 때 처음 봤던 지인 아들의 아내(40대)가 저를 예의없이 대해서 지인(60대)에게 며느리(40대)에게 전하라며 인성 교육이나 제대로 받으라고 했는데 이 일에 상관없는 지인의 아들 딸(40대)들이 통화를 듣고는 상황 파악이 안되는지 아니나 다를까 작은 말로 "누가 인성이 잘못된 지 모르겠네 신경 쓰지 마" 라고 하는데 '그 애비에 그 자식'이라고 생각하는 것 같았습니다. 저는 그 애비에 그 자식 이라는 말을 듣기 싫고 그렇게 생각 하는 것도 싫어요 화를 낼 상황에서 참고 있으면 바보 소리 듣는 요즘 할 말을 한 건데 이러한 상황에서 제가 잘못했나요?","서울특별시 ",19,2024-10-15,NULL,NULL,NULL
476660224,"질문중2 인사동 엠스테이지 근처 놀거리 추천","이번주 금요일에 엠스테이지 쪽 놀러 가는데 놀거리로 무엇이 있을까요? 그냥 걷는 거 좋아해서 길거리 추천도 좋고 책 관련 된 곳도 좋아요. 정말 아무데나 좋습니다!! 근데 학교에서 가는거라 너무 멀리까지는 못가서 엠스테이지 근처로 부탁드립니다.","서울특별시 종로구 인사동 ",17,2024-10-15,4766602241,"테이지서울특별시 종로구 인사동길 34-1 지하2층 엠스테이지쌈지길서울특별시 종로구 인사동길 44 쌈지길익선동서울특별시 종로구 수표로28길 12엠스테이지 약간 위 쌈지길낙원상가 건너편으로 넘어가면 바로 종로3가역 익선동 여기에 볼거리 먹거리 놀거리가 많은곳3호선종로3가역익선동 인사동 북촌한옥마을 삼청동 경복궁 동선코스4번출구 편의점골목이 익선동 초입 옆에 지나가는 사람과 어깨가 닿을 정도로매우 좁은 미로같은 (겉만 한옥 거리이지 사실 속은 서양식 )까페 네컷사진 오락실 옷 가게 등 즐길거리 먹거리가 많은곳 바로옆 낙원상가통과하면 인사동 네거리 쌈지길(전통복합문화공간)종로3가역 맛집 익선동 쪽을지면옥 냉면15 소고기국밥13종로찌게마을 대구탕12 2시간이상 못있는곳미갈매기살 갈매기살18 삽겹19 막창18이경문순대곱창 11시부터 줄 순대국 9 건더기 엄청푸짐종로할머니국수 멸치국물 8 김치가 괜찮은곳 찬양집 해물국물 하고 양대산맥베베도넛 4 음료5간판없는가게 스파게티 아란치니 8익선미다방 파스타 2서울커피 빵4.5 음료 6호호식당 일식 히레카츠 16자연도 소금빵 시간대별로 나오는빵을 먹을수 있는곳한옥마당 에서 차와 빵을 먹을수 있는곳 대신 차를 시켜야함 (익선동 카페구조가 대부분 비슷)소금빵 4개 한셋트 12 빵매니아 추천",2024-10-15
476659798,"질문선릉정형외과 어디가 좋을까요?","선릉동으로 이사온지 2주정도 됐는데요 저희 아버지께서 디스크가 있으신데 기존에 다니던 병원은 너무 멀어서 다니기가 어렵더라구요 그래서 동네 근처로 다니려고 하는데 선릉정형외과 잘하는 곳 추천 받을 수 있을까요?? 어디가 좋을지 잘 모르겠어서 추천해주시면 감사하겠습니다","서울특별시 강남구 삼성동 ",26,2024-10-15,4766597981,"하세요선릉정형외과 추천해드리고 싶어서 글 남깁니다.선릉역 4번출구 쪽에 있는 굿본재활의학과 선릉점 추천드립니다.제가 예전에 헬스에 미쳐있을 때 허리도 삐끗하고 무리를한 적이 있었는데 여기 추천받아서 다녔더니 무조건적으로도수치료만 권장하는 게 아니라 제 상태 꼼꼼히 체크해주시면서체계적으로 봐주셨습니다. 무엇보다 저에게 가장 효과가크게 나타날 수 있는 걸로 관리를 해주시더라구요.허리에 통증이 왜 심해졌는지부터 어떤 관리가 도움이 되는지친절하고 꼼꼼하게 설명해주십니다. 저 같은 경우에는 주기적으로맞춤 클리닉을 받고 있습니다. 그날그날 허리상태에 맞는 클리닉을해주셔서인지 고질병이였던 부분이 많이 개선되었어요선릉정형외과 중에서도 굿본재활의학과 선릉점은꾸준히 다녀보니까 왜 유명한지 확실히 알겠더라고요.지금은 허리도 많이 괜찮아졌고 불편함도 거의 없어졌어요 ㅎ바른 자세를 잡을 수 있도록 신경써주시는 게 눈에 보일 정도로환자 분들한테 엄청 잘 케어해주십니다.위치 궁금하실까봐 아래 지도에 남겨놨으니 참고하세요.굿본재활의학과의원 선릉역서울특별시 강남구 테헤란로 316 메트라이프타워 2층",2024-10-17
476616080,"질문도봉구 방학동 인근에 자유롭게 술 사갈 수 있는 음식점","도봉구 방학동 인근에 자유롭게 술 사가서 마실 수 있는 음식점 있나요? 옛날에는 술사와 라는 음식점이 식당에서 음식이랑 안주는 팔고 술은 본인이 원하는 거 사가서 먹을 수 있는 곳이였는네 사라져서요. 혹시 위에 예시같은 곳 있을까요?","서울특별시 도봉구 ",18,2024-10-15,4766160801,"역 근처 콜키지 가능한 로타리삼겹살 추천합니다위치 참고하시기 바랍니다콜키지 비용은 유료 입니다",2024-10-15
476656194,"질문세븐펍 홍대 술집 칵테일 추천해 주실 수 있나요?","여자친구와 홍대에서 주말 데이트를 하기로 했습니다. 둘 다 술을 잘 못하는데 세븐펍 홍대가 인테리어도 예쁘고 안주도 맛있다고 해서 가보려고 합니다. 도수가 높지 않고 맛있는 칵테일 추천해 주실 수 있나요?","서울특별시 마포구 동교동 ",13,2024-10-15,NULL,NULL,NULL
476656158,"질문급하다급해 에어서울 보조배터리","처음사진이 제가 가지고있는 배터리고 두번째가 에어서울 규정인데 가져가도되겠죠?","서울특별시 ",21,2024-10-15,4766561581," 밧데리는 3.7v 제품이므로111 wh 제품입니다.위 기재된 사항으로는 기내 반입은 가능하지만 항공사 승인이 필요한 제품으로 보입니다.리튬함량이 8g 이하인데 제품 설명등으로는 해당사항은 확인이 되지 않습니다.",2024-10-15
476656012,"질문건대역 정형외과 스타시티 정형외과의원 점심시간 있나요?","최근 잦은 야근으로 어깨가 뭉친 탓인지 통증이 지속되어 물리치료를 받으러 가려고 합니다. 12시쯤에 방문할 예정인데 건대역에 있는 정형외과 스타시티 정형외과의원 점심시간 있나요? 있다면 몇 시부터 몇 시까지인지 알려주세요.","서울특별시 광진구 자양동 ",9,2024-10-15,4766560121,"에서2시까지 입니다.",2024-10-15
476655709,"질문어디에 있을까요??ㅜ","수유쪽에 통목살 파는 트럭 아저씨 주로 어디에 출몰하시나요??ㅜ","서울특별시 강북구 수유동 ",13,2024-10-15,NULL,NULL,NULL
476655402,"질문개롱역안과병원 어린이 시력검사 꼼꼼하게 잘봐주는 곳","5살 딸아이를 키우는데 눈이 불편한것 같아 개롱역안과병원 가서 검사 받으려고 하는데 아이가 너무 어리기도 하고 꼼꼼하게 검사받고 싶어서요. 저처럼 어린자녀 둔 부모님들 어린이 안과 어디로 다니세요?","서울특별시 송파구 ",18,2024-10-15,4766554022," 병원에서 어떤 시력교정 수술을 할지 고민하기 전에 먼저 내 눈에 적합한 시력교정술이 무엇인지 알아보는 것이 좋지 않을까요?저도 2개월 전 시력이 나빠지면서 어떤 병원에서 어떤 수술을 받아야 할지 고민이 많았습니다.그때 챗닥이라는 의료 플랫폼을 통해 AI 시력교정술 예측 검사를 받아보았어요.AI를 활용한 이 검사는 제 눈 상태에 가장 적합한 시력교정술을 추천해 주었고 추가로 수술 시 최대 할인 혜택도 받을 수 있었답니다!시력교정술을 고민하고 계시거나 어느 병원을 선택해야 할지 망설이시는 분들이라면 비용이 들지 않으니  AI 시력교정술 검사를 받아보시는 것도 좋은 선택일 것 같아요.무료로 검사받고 나면 이후에 병원 선택이나 수술 결정에 있어 훨씬 도움이 될 거예요.참고하실 수 있게 챗닥 AI 시력교정술 검사 링크를 함께 전달드립니다.내 눈에 맞는 AI 시력교정술 테스트https://chatdoc.afformation.co.kr/reservation/34?contentId=335오늘도 좋은 하루 보내세요!",2024-10-15
476655402,"질문개롱역안과병원 어린이 시력검사 꼼꼼하게 잘봐주는 곳","5살 딸아이를 키우는데 눈이 불편한것 같아 개롱역안과병원 가서 검사 받으려고 하는데 아이가 너무 어리기도 하고 꼼꼼하게 검사받고 싶어서요. 저처럼 어린자녀 둔 부모님들 어린이 안과 어디로 다니세요?","서울특별시 송파구 ",18,2024-10-15,4766554021," 아이도 어려서 처음에 안경 맞출 때개롱역안과병원 어디로 가야할지 몰라 엄청 고생했는데..주변에서 혜민.안과병원을 많이 찾길래 따라갔더니아이 눈높이에 맞게 꼼꼼하게 잘 봐주시더라고요.덕분에 아이 시력도 정확히 알았고현재 안경착용 중인데 근시때문에 드림렌즈도 생각하고 있어요.",2024-10-15
476655189,"질문서울 송파을 ..?","서울에서 송파을 부분은 어디서부터 어디까지인가요..? 자세히 좀 알려주세요. 부탁드립니다.","서울특별시 송파구 ",13,2024-10-15,4766551891," 구역관할 구역송파구거여동 마천1동 마천2동 오금동 송파동 석촌동 가락동 문정동송파구거여동 마천1동 마천2동 송파1동 송파2동 석촌동 삼전동 가락본동 가락1동 가락2동 문정1동 문정2동송파구방이1동 방이2동 오륜동 오금동 송파1동 송파2동 석촌동 삼전동송파구거여1동 거여2동 마천1동 마천2동 오금동 석촌동 삼전동 가락본동 가락1동 가락2동 문정1동 문정2동 장지동송파구석촌동 삼전동 가락1동 문정2동 잠실본동 잠실1동 잠실2동 잠실3동 잠실5동 잠실7동송파구석촌동 삼전동 가락1동 문정2동 잠실본동 잠실2동 잠실3동 잠실7동",2024-10-15
476582155,"질문화곡동 로얄짬뽕 근황","옛날에 화곡동에 있는 로얄짬뽕집을 아주 잘 갔었는데 다른지역으로 이사 후 몇년동안 못 갔었는데 가게가 없어졌더라고요 혹시 이사를 했거나 다른곳에서 하고 있다면 위치 알려주세요 ㅠㅠ 또 가고 싶어요 … 전라도여도 갑니다 ㅠㅠ","서울특별시 강서구 화곡동 ",18,2024-10-15,NULL,NULL,NULL
476654665,"질문서울 안양 광명에 피구부 있는 중학교 있나요?","서울(금천구 구로구 관악구) 안양 광명에 피구부 있는 중학교 있는곳 아시는분 있으신가요? 가능한 금천구면 제일 좋고 없으면 원정도 가능합니다.","서울특별시 ",9,2024-10-15,NULL,NULL,NULL
476654169,"질문혼자 놀만한 곳 추천해주세요!","노래방 pc방 영화관 만화카페 말고 다른 놀만한 곳 있을까용?","서울특별시 ",39,2024-10-15,4766541694," : 광화문 종로 경복궁 창덕궁 종묘 명동 서대문형무소 국립중앙박물관 혜화동 대학로 잠실 롯데월드 석촌호수 서울숲 상암 하늘공원 여의도한강공원 여의도 더현대 서울 뚝섬유원지 동대문 신촌 홍대 코엑스 별마당도서관 올림픽공원 등이 있습니다.강남구 논현동에 위치한 유정식당 가볼만합니다",2024-10-17
